Crop Type,Season,Temperature (°C),Humidity (%),Precipitation (mm),Soil Moisture (%),Wind Speed (km/h),Sunlight (hours),Disease Name
Corn,Summer,31.33,88.48,45.19,22.99,10.95,12.82,Common Rust
Wheat,Summer,31.3,69.92,33.58,15.38,9.34,12.08,Powdery Mildew
Wheat,Winter,14.13,51.35,13.65,22.32,23.2,13.9,Rust
Corn,Spring,29.8,81.68,9.46,29.33,10.54,5.57,Northern Corn Leaf Blight
Corn,Spring,13.83,50.41,41.38,50.9,7.79,13.24,Common Rust
Corn,Autumn,20.53,89.19,25.1,18.0,12.64,5.79,Common Rust
Wheat,Autumn,15.34,64.22,47.32,42.2,5.55,7.0,Fusarium Head Blight
Rice,Spring,23.51,70.58,31.01,58.58,16.5,5.92,Brown Spot
Rice,Spring,13.18,88.6,1.54,22.39,5.27,13.31,Sheath Blight
Rice,Winter,18.1,56.06,20.66,16.03,24.74,8.35,Brown Spot
Wheat,Autumn,33.16,49.75,18.86,21.03,11.29,13.86,Rust
Corn,Winter,24.16,99.97,7.8,46.82,17.81,5.34,Gray Leaf Spot
Corn,Autumn,21.44,88.14,2.97,54.64,12.06,8.94,Common Rust
Corn,Winter,17.48,45.94,32.74,24.04,4.03,8.98,Gray Leaf Spot
Wheat,Winter,27.51,54.32,32.47,49.63,24.63,9.83,Rust
Corn,Winter,16.46,50.7,23.95,52.42,2.66,9.3,Common Rust
Rice,Winter,18.24,85.03,22.09,51.75,8.61,8.74,Brown Spot
Rice,Summer,10.34,60.67,0.12,34.45,7.76,7.38,Brown Spot
Corn,Winter,33.78,43.63,25.65,49.58,7.09,13.07,Northern Corn Leaf Blight
Wheat,Autumn,18.22,85.73,40.08,30.94,13.9,5.69,Powdery Mildew
Wheat,Autumn,26.6,60.62,28.16,24.05,15.79,10.15,Rust
Rice,Summer,21.44,74.73,23.13,35.19,19.0,8.74,Blast
Wheat,Spring,23.99,84.14,45.89,46.96,20.42,10.72,Fusarium Head Blight
Wheat,Autumn,10.56,55.3,33.17,48.54,5.09,8.49,Rust
Corn,Winter,14.94,70.34,41.64,46.58,14.54,6.88,Gray Leaf Spot
Wheat,Autumn,17.55,40.29,30.38,16.26,17.13,9.84,Rust
Rice,Winter,19.15,73.53,20.32,42.65,4.81,8.58,Brown Spot
Wheat,Autumn,20.82,98.39,1.87,21.48,19.11,13.89,Powdery Mildew
Corn,Winter,20.06,65.53,44.08,10.14,5.58,8.7,Common Rust
Corn,Autumn,10.27,81.51,12.19,40.4,21.1,5.3,Common Rust
Wheat,Spring,20.16,79.9,37.41,10.25,1.44,13.73,Powdery Mildew
Wheat,Spring,32.41,65.15,41.26,44.3,10.51,10.24,Fusarium Head Blight
Wheat,Autumn,15.33,86.72,14.05,56.83,16.18,10.55,Rust
Wheat,Summer,11.74,60.75,18.58,23.82,19.8,13.62,Fusarium Head Blight
Wheat,Winter,27.24,62.61,3.91,20.01,1.87,12.22,Fusarium Head Blight
Wheat,Winter,31.43,83.38,21.1,50.43,13.98,8.42,Fusarium Head Blight
Rice,Winter,29.62,91.52,38.49,11.76,3.87,12.67,Brown Spot
Wheat,Summer,28.87,99.84,42.65,15.68,14.93,7.29,Powdery Mildew
Rice,Winter,25.68,92.69,1.68,29.69,17.81,12.63,Sheath Blight
Wheat,Spring,26.36,41.91,12.26,35.14,15.52,11.95,Powdery Mildew
Rice,Autumn,14.18,57.05,15.43,35.67,18.71,11.45,Brown Spot
Wheat,Summer,25.31,85.05,15.34,28.76,17.54,6.61,Powdery Mildew
Corn,Winter,23.21,68.72,38.52,50.35,14.56,13.45,Northern Corn Leaf Blight
Wheat,Winter,13.25,75.44,18.03,48.18,15.54,7.03,Powdery Mildew
Wheat,Autumn,12.14,60.1,5.76,53.07,11.61,12.66,Powdery Mildew
Rice,Spring,18.91,57.01,34.74,26.85,10.52,7.8,Blast
Rice,Spring,20.19,50.69,22.02,22.56,2.46,13.25,Blast
Rice,Spring,22.59,80.04,34.92,59.54,21.35,6.74,Brown Spot
Rice,Autumn,28.95,60.42,13.47,31.79,16.39,7.5,Sheath Blight
Corn,Summer,32.37,99.66,8.85,53.13,1.97,12.09,Common Rust
Rice,Autumn,23.66,73.19,16.83,33.99,22.6,9.6,Blast
Rice,Autumn,16.38,69.09,14.51,44.58,10.47,12.78,Brown Spot
Corn,Winter,15.92,73.74,48.29,15.83,2.96,12.03,Gray Leaf Spot
Wheat,Winter,29.6,80.1,49.82,50.22,21.85,11.49,Rust
Corn,Winter,20.35,74.0,12.79,30.01,5.23,12.37,Common Rust
Wheat,Summer,31.03,42.38,36.08,52.42,9.21,6.51,Rust
Rice,Summer,20.39,94.09,26.82,18.37,16.49,9.8,Blast
Rice,Autumn,21.18,84.29,42.76,57.14,22.19,9.45,Brown Spot
Rice,Summer,13.23,73.73,14.24,37.9,10.09,10.35,Brown Spot
Rice,Summer,31.03,58.81,45.44,20.64,23.14,10.79,Blast
Rice,Summer,22.62,90.14,41.38,26.78,8.79,12.25,Blast
Corn,Summer,28.72,94.17,46.8,55.75,16.34,7.55,Northern Corn Leaf Blight
Rice,Autumn,17.14,83.23,28.59,31.65,24.85,10.27,Blast
Rice,Autumn,28.01,40.67,4.32,47.79,12.12,5.09,Blast
Rice,Autumn,17.16,72.03,40.02,30.87,2.24,5.07,Brown Spot
Rice,Winter,24.29,69.28,18.45,59.62,11.26,7.27,Brown Spot
Corn,Spring,16.75,91.04,42.79,59.42,8.79,6.88,Gray Leaf Spot
Corn,Summer,12.17,68.39,42.06,24.02,0.4,9.57,Northern Corn Leaf Blight
Wheat,Spring,13.36,97.63,47.95,47.49,22.62,10.81,Powdery Mildew
Rice,Summer,18.15,97.29,32.01,56.4,15.14,5.11,Brown Spot
Rice,Autumn,14.04,47.61,32.17,50.12,4.61,9.73,Blast
Wheat,Autumn,11.48,90.28,1.49,18.46,12.28,13.87,Rust
Wheat,Winter,16.43,49.68,42.86,42.53,12.97,9.86,Fusarium Head Blight
Wheat,Autumn,11.25,91.11,30.91,10.11,20.81,5.54,Powdery Mildew
Corn,Winter,32.05,42.06,19.22,10.19,7.92,5.08,Gray Leaf Spot
Rice,Spring,27.68,60.46,23.1,31.91,14.9,13.93,Blast
Wheat,Winter,29.21,91.15,38.46,11.78,7.32,12.98,Rust
Rice,Spring,13.67,55.94,2.44,54.1,23.48,10.52,Blast
Corn,Summer,29.5,86.7,21.59,29.1,10.38,11.84,Northern Corn Leaf Blight
Rice,Autumn,25.06,47.0,20.54,24.61,3.09,8.49,Brown Spot
Rice,Summer,10.07,82.29,19.86,53.11,4.92,5.22,Blast
Wheat,Winter,11.07,67.04,48.93,35.56,2.57,10.16,Rust
Corn,Spring,12.41,74.54,36.03,13.45,20.53,7.84,Northern Corn Leaf Blight
Wheat,Winter,11.4,82.93,42.37,32.22,10.49,10.62,Rust
Wheat,Summer,26.37,86.77,30.43,53.6,19.2,12.1,Fusarium Head Blight
Wheat,Spring,14.42,41.3,43.95,46.09,5.56,9.57,Rust
Rice,Summer,26.43,86.14,32.65,35.54,19.73,12.58,Blast
Rice,Summer,23.15,54.22,7.53,15.99,0.44,5.32,Brown Spot
Rice,Spring,11.86,87.13,34.25,44.36,4.91,12.24,Sheath Blight
Corn,Autumn,34.98,95.39,12.09,22.59,2.75,10.11,Gray Leaf Spot
Wheat,Spring,26.17,78.89,23.12,22.45,23.18,10.14,Powdery Mildew
Rice,Winter,13.15,65.95,13.7,53.2,24.74,7.31,Blast
Rice,Spring,23.87,65.68,38.02,19.42,18.06,7.02,Sheath Blight
Wheat,Autumn,26.32,84.63,7.97,35.17,14.1,6.5,Rust
Wheat,Summer,23.25,90.58,10.7,47.99,23.79,10.26,Fusarium Head Blight
Wheat,Summer,24.87,85.94,38.54,18.38,10.98,13.92,Rust
Rice,Autumn,15.17,96.4,19.38,57.01,0.83,10.09,Blast
Corn,Spring,28.39,88.19,38.98,19.09,8.68,11.97,Common Rust
Corn,Autumn,21.82,72.01,11.72,57.01,23.92,10.4,Common Rust
Wheat,Summer,28.78,80.6,8.46,26.41,12.82,11.81,Powdery Mildew
Wheat,Spring,30.07,72.67,39.78,11.27,1.9,9.55,Fusarium Head Blight
Corn,Autumn,12.29,50.43,8.6,46.0,15.81,13.57,Gray Leaf Spot
Corn,Spring,28.61,48.12,19.15,15.0,17.34,8.57,Common Rust
Rice,Winter,10.26,40.79,2.34,35.16,15.21,10.68,Sheath Blight
Corn,Autumn,25.43,47.22,48.7,40.41,9.54,12.19,Gray Leaf Spot
Corn,Winter,30.11,46.91,1.42,18.06,22.15,8.23,Gray Leaf Spot
Rice,Spring,29.2,48.67,20.07,13.0,18.77,8.56,Sheath Blight
Rice,Autumn,22.95,84.31,10.47,57.13,2.37,12.56,Brown Spot
Corn,Winter,33.51,57.73,37.98,18.27,0.54,13.56,Common Rust
Corn,Winter,33.07,63.69,8.1,48.54,7.04,11.58,Gray Leaf Spot
Wheat,Winter,27.17,74.76,34.28,48.46,20.31,8.87,Fusarium Head Blight
Wheat,Autumn,26.82,41.85,13.1,54.72,0.83,12.77,Powdery Mildew
Wheat,Summer,14.47,96.05,7.88,59.65,4.28,12.54,Fusarium Head Blight
Corn,Winter,19.85,47.12,24.33,40.18,9.27,7.86,Northern Corn Leaf Blight
Rice,Summer,13.39,69.3,16.5,47.73,5.6,9.23,Blast
Wheat,Spring,32.37,62.14,12.74,44.46,1.14,9.99,Fusarium Head Blight
Corn,Winter,10.01,60.81,13.45,32.3,16.65,10.12,Gray Leaf Spot
Rice,Summer,24.72,87.57,19.84,21.83,23.39,6.74,Brown Spot
Wheat,Summer,11.14,54.08,39.61,59.02,2.07,10.14,Rust
Wheat,Autumn,32.86,62.66,47.39,32.43,22.36,8.07,Powdery Mildew
Wheat,Summer,23.93,99.56,16.34,20.52,3.78,8.06,Rust
Corn,Winter,21.87,75.02,37.89,49.19,3.8,10.56,Common Rust
Rice,Summer,29.24,62.84,24.42,35.45,0.55,8.2,Blast
Corn,Summer,15.93,83.11,29.28,60.0,21.5,11.67,Gray Leaf Spot
Wheat,Spring,11.27,52.79,45.02,28.03,6.14,7.11,Fusarium Head Blight
Rice,Autumn,27.68,97.23,16.31,22.45,14.61,6.76,Brown Spot
Wheat,Spring,33.22,77.62,21.65,32.91,19.73,8.0,Fusarium Head Blight
Wheat,Winter,30.31,49.86,20.78,50.64,7.58,9.73,Rust
Corn,Summer,12.45,96.76,41.49,19.46,7.07,5.59,Gray Leaf Spot
Corn,Winter,12.67,58.59,42.52,48.21,15.44,12.31,Gray Leaf Spot
Corn,Spring,24.65,45.29,21.75,29.96,3.51,8.95,Northern Corn Leaf Blight
Wheat,Spring,10.22,52.53,18.24,23.42,13.14,8.4,Rust
Rice,Spring,14.0,64.22,49.84,59.03,22.45,5.62,Sheath Blight
Rice,Winter,26.99,65.65,19.65,23.76,2.37,7.28,Brown Spot
Rice,Winter,13.01,68.69,3.62,49.19,15.98,13.33,Brown Spot
Corn,Summer,23.74,98.21,45.58,52.72,4.35,6.84,Gray Leaf Spot
Corn,Autumn,12.43,50.93,2.49,46.07,4.27,12.66,Gray Leaf Spot
Rice,Winter,26.14,94.59,4.46,58.61,20.19,13.95,Blast
Wheat,Spring,27.13,73.56,24.11,46.87,12.74,5.79,Rust
Corn,Summer,28.85,40.56,29.18,36.54,21.81,7.74,Gray Leaf Spot
Rice,Spring,13.49,85.64,39.17,43.13,12.08,9.98,Brown Spot
Wheat,Spring,31.46,45.39,14.23,15.51,20.29,7.81,Fusarium Head Blight
Wheat,Summer,33.94,41.12,34.21,12.17,21.79,13.16,Powdery Mildew
Rice,Spring,25.03,55.07,47.1,24.38,12.42,6.85,Blast
Corn,Spring,19.3,81.2,9.24,42.9,16.77,7.49,Northern Corn Leaf Blight
Rice,Summer,26.56,52.48,34.09,43.12,14.02,13.39,Brown Spot
Rice,Winter,19.75,59.05,42.06,53.56,15.12,10.93,Sheath Blight
Rice,Autumn,28.83,87.29,49.69,12.2,10.3,12.73,Brown Spot
Corn,Autumn,16.53,48.37,49.77,12.73,3.76,8.51,Gray Leaf Spot
Rice,Spring,34.89,91.59,15.06,16.9,4.14,10.0,Brown Spot
Rice,Summer,16.59,40.45,26.65,54.77,7.53,8.91,Sheath Blight
Corn,Summer,27.75,90.43,11.95,39.49,10.65,8.5,Common Rust
Rice,Winter,24.85,81.22,44.42,10.74,6.78,5.83,Sheath Blight
Corn,Spring,19.99,48.69,38.13,50.96,1.61,5.42,Common Rust
Wheat,Spring,24.36,58.11,16.37,41.74,2.09,5.08,Powdery Mildew
Corn,Summer,26.74,76.93,48.6,34.85,19.74,7.55,Northern Corn Leaf Blight
Rice,Winter,18.2,58.76,35.82,41.4,12.03,5.18,Blast
Corn,Spring,21.26,84.29,5.19,11.61,16.95,9.95,Common Rust
Corn,Summer,13.64,88.62,36.53,22.5,18.5,12.14,Northern Corn Leaf Blight
Rice,Winter,26.21,46.14,39.89,10.37,14.68,11.99,Blast
Corn,Winter,29.99,43.8,10.42,25.17,20.36,6.51,Gray Leaf Spot
Wheat,Autumn,24.85,61.57,35.34,18.99,12.01,13.22,Fusarium Head Blight
Wheat,Autumn,22.67,75.15,37.35,14.37,1.58,10.73,Rust
Rice,Autumn,23.35,74.43,25.09,44.22,15.59,13.58,Brown Spot
Wheat,Autumn,10.03,81.08,29.81,31.36,6.5,8.68,Rust
Corn,Summer,31.96,89.91,49.74,21.96,13.47,5.61,Common Rust
Rice,Spring,10.88,72.28,6.14,55.37,7.55,9.74,Sheath Blight
Corn,Summer,34.69,89.28,27.99,32.54,0.71,8.52,Northern Corn Leaf Blight
Wheat,Autumn,15.13,57.74,3.86,24.48,2.17,9.42,Rust
Rice,Spring,10.18,54.14,10.15,46.47,7.73,12.04,Sheath Blight
Rice,Autumn,32.41,43.96,47.83,22.84,16.15,10.73,Blast
Wheat,Autumn,33.15,54.39,47.52,58.31,1.72,7.27,Fusarium Head Blight
Corn,Spring,17.15,53.01,40.17,48.5,20.42,13.38,Gray Leaf Spot
Corn,Summer,24.45,80.37,12.55,14.71,18.11,10.31,Common Rust
Wheat,Autumn,10.2,40.89,2.78,23.76,14.88,9.13,Powdery Mildew
Wheat,Autumn,10.36,45.23,20.7,59.74,12.32,11.7,Powdery Mildew
Rice,Autumn,18.53,91.88,46.95,28.45,24.86,9.96,Blast
Rice,Spring,27.65,46.36,5.67,42.59,14.26,6.85,Sheath Blight
Corn,Autumn,30.59,60.98,35.68,43.6,0.44,7.76,Northern Corn Leaf Blight
Wheat,Autumn,33.22,94.86,20.22,13.54,12.0,12.81,Fusarium Head Blight
Wheat,Spring,30.54,55.24,30.26,18.54,20.44,7.58,Fusarium Head Blight
Wheat,Summer,17.62,51.65,30.28,43.64,8.77,11.56,Fusarium Head Blight
Corn,Spring,19.71,87.64,34.92,24.77,21.2,12.19,Northern Corn Leaf Blight
Wheat,Autumn,30.56,43.71,41.28,39.5,24.95,11.09,Powdery Mildew
Wheat,Summer,20.76,92.72,47.64,36.48,21.18,5.78,Rust
Corn,Spring,14.28,75.11,3.37,14.22,16.04,8.88,Gray Leaf Spot
Corn,Spring,26.88,82.68,47.47,27.93,2.81,9.71,Gray Leaf Spot
Wheat,Summer,32.32,80.55,11.32,55.67,1.37,7.08,Rust
Wheat,Winter,26.03,62.65,6.17,28.94,15.4,11.43,Rust
Rice,Summer,33.32,48.03,32.76,57.63,2.42,9.15,Brown Spot
Corn,Summer,14.61,76.06,43.81,25.6,9.45,6.06,Northern Corn Leaf Blight
Corn,Summer,15.08,76.9,8.92,53.4,17.86,9.71,Northern Corn Leaf Blight
Wheat,Autumn,27.13,65.7,13.21,17.89,4.69,10.74,Powdery Mildew
Corn,Winter,20.56,60.78,18.69,48.06,22.2,7.0,Gray Leaf Spot
Corn,Spring,19.32,95.92,26.67,40.78,16.76,10.41,Gray Leaf Spot
Wheat,Winter,31.31,79.82,44.27,17.35,4.05,8.28,Rust
Wheat,Winter,23.45,60.21,35.51,21.88,7.21,9.07,Powdery Mildew
Wheat,Autumn,28.59,67.76,4.66,30.43,16.42,5.1,Rust
Rice,Spring,12.73,87.63,30.22,41.26,7.33,10.65,Blast
Rice,Summer,10.34,52.44,37.68,21.54,3.52,9.54,Sheath Blight
Wheat,Summer,16.48,93.55,9.89,47.97,23.87,6.1,Rust
Corn,Summer,12.2,87.54,45.69,31.65,24.12,7.62,Gray Leaf Spot
Corn,Summer,11.21,92.28,7.91,15.7,13.31,5.49,Gray Leaf Spot
Wheat,Summer,18.0,42.3,9.2,58.4,8.2,8.74,Rust
Rice,Winter,20.55,61.76,30.05,21.45,4.15,9.4,Blast
Rice,Summer,28.24,83.61,24.69,28.26,12.42,7.98,Brown Spot
Corn,Winter,11.74,74.57,30.7,12.86,12.14,6.01,Northern Corn Leaf Blight
Rice,Winter,12.28,94.68,16.36,23.72,8.22,5.84,Sheath Blight
Wheat,Spring,28.39,61.88,22.95,23.75,6.76,9.38,Fusarium Head Blight
Rice,Summer,27.82,92.73,33.23,43.38,5.91,10.68,Brown Spot
Corn,Summer,16.6,80.22,13.28,54.69,6.7,12.57,Common Rust
Rice,Spring,29.88,89.32,23.61,39.97,4.2,7.43,Brown Spot
Rice,Spring,23.46,69.52,4.73,26.15,12.22,13.81,Blast
Wheat,Autumn,30.66,49.63,48.03,51.53,1.13,11.27,Rust
Corn,Spring,28.47,89.27,10.71,22.54,5.98,9.14,Common Rust
Corn,Spring,29.07,75.47,35.82,46.14,19.82,9.42,Common Rust
Wheat,Spring,26.93,85.74,49.39,29.1,21.94,13.59,Fusarium Head Blight
Corn,Autumn,33.33,66.25,6.2,28.79,1.64,11.97,Common Rust
Corn,Autumn,17.22,46.72,36.22,56.8,6.99,13.03,Northern Corn Leaf Blight
Wheat,Autumn,25.16,98.08,7.66,34.52,2.39,13.54,Powdery Mildew
Wheat,Winter,13.74,91.69,44.06,19.29,4.06,8.19,Powdery Mildew
Rice,Summer,30.02,59.23,13.35,16.89,24.72,11.96,Sheath Blight
Corn,Spring,17.12,41.16,45.03,59.59,14.45,5.85,Gray Leaf Spot
Corn,Autumn,33.96,89.48,40.1,44.42,17.55,8.44,Common Rust
Wheat,Spring,18.51,56.96,31.78,19.63,6.96,9.79,Powdery Mildew
Rice,Autumn,31.9,49.01,11.53,21.58,7.18,13.94,Brown Spot
Corn,Winter,24.53,58.49,15.58,12.3,13.57,6.89,Common Rust
Rice,Summer,13.13,53.32,19.21,47.27,9.22,7.49,Sheath Blight
Wheat,Winter,17.68,52.12,16.34,26.66,12.95,10.12,Rust
Wheat,Summer,31.66,69.34,33.02,16.82,21.86,11.26,Fusarium Head Blight
Corn,Spring,13.56,75.89,29.91,34.13,0.55,13.2,Gray Leaf Spot
Corn,Spring,31.77,44.74,30.72,56.48,21.44,8.37,Northern Corn Leaf Blight
Wheat,Autumn,31.8,77.03,39.27,35.21,16.64,10.2,Fusarium Head Blight
Wheat,Winter,22.79,56.71,40.0,27.56,0.14,12.41,Rust
Corn,Spring,34.8,75.18,2.54,14.65,15.15,8.27,Common Rust
Rice,Winter,12.21,46.46,12.09,22.5,13.2,13.58,Blast
Rice,Spring,23.3,88.95,27.14,13.25,3.38,5.04,Sheath Blight
Corn,Winter,12.25,51.28,6.63,31.38,16.24,9.98,Northern Corn Leaf Blight
Rice,Spring,23.2,75.74,8.82,31.84,2.6,12.55,Blast
Rice,Winter,10.22,76.27,13.38,29.96,14.14,11.75,Blast
Corn,Winter,34.9,66.64,9.58,51.92,15.46,9.18,Northern Corn Leaf Blight
Wheat,Summer,10.63,86.12,38.62,11.94,11.49,5.09,Rust
Wheat,Autumn,17.11,72.39,42.9,27.67,20.09,7.43,Fusarium Head Blight
Wheat,Autumn,26.8,65.63,30.83,57.62,5.08,13.36,Rust
Rice,Summer,10.48,87.79,49.06,26.06,11.43,8.53,Blast
Corn,Autumn,32.62,71.88,16.32,19.25,0.38,12.34,Northern Corn Leaf Blight
Rice,Autumn,33.78,74.26,40.28,26.3,12.12,11.61,Brown Spot
Corn,Autumn,32.39,73.83,31.85,32.22,22.3,13.65,Northern Corn Leaf Blight
Rice,Summer,32.59,74.61,18.68,56.59,12.74,12.04,Blast
Corn,Winter,33.13,93.48,21.0,29.76,22.96,10.75,Gray Leaf Spot
Corn,Spring,29.25,83.64,19.44,24.32,18.78,11.24,Gray Leaf Spot
Wheat,Spring,14.25,69.38,41.52,31.96,14.07,5.99,Powdery Mildew
Wheat,Summer,11.97,45.86,23.59,28.75,9.73,5.47,Powdery Mildew
Corn,Summer,20.98,57.09,2.14,38.8,14.6,11.8,Northern Corn Leaf Blight
Rice,Summer,20.11,48.57,0.56,54.46,18.44,13.18,Brown Spot
Wheat,Autumn,17.33,88.73,34.66,11.26,13.65,9.74,Fusarium Head Blight
Corn,Autumn,18.24,88.44,10.87,59.8,2.99,7.52,Gray Leaf Spot
Rice,Winter,12.51,47.68,21.65,42.33,19.35,10.63,Blast
Wheat,Spring,26.03,81.22,10.76,29.9,6.96,11.55,Powdery Mildew
Rice,Summer,25.07,43.64,20.1,15.76,2.64,7.26,Brown Spot
Corn,Winter,12.42,80.26,20.15,10.16,1.57,6.04,Common Rust
Rice,Autumn,14.37,79.61,12.43,15.98,23.91,12.73,Brown Spot
Corn,Summer,29.23,55.18,35.24,25.68,17.02,9.29,Northern Corn Leaf Blight
Corn,Winter,15.11,98.52,36.89,28.93,17.46,5.94,Gray Leaf Spot
Rice,Autumn,19.95,40.68,40.15,32.5,18.46,9.46,Brown Spot
Wheat,Winter,22.27,92.12,37.1,20.34,18.14,9.97,Powdery Mildew
Rice,Spring,10.73,40.41,26.8,30.54,2.46,5.28,Sheath Blight
Rice,Winter,11.48,93.52,17.11,52.94,7.55,7.49,Brown Spot
Corn,Autumn,18.52,81.0,7.73,45.28,12.11,6.17,Gray Leaf Spot
Wheat,Autumn,26.59,87.12,34.71,13.21,9.54,5.65,Rust
Wheat,Autumn,25.09,48.85,3.35,10.21,15.48,13.42,Powdery Mildew
Corn,Summer,18.01,84.46,17.55,17.71,24.77,5.21,Northern Corn Leaf Blight
Corn,Spring,18.12,70.95,39.84,29.62,7.82,7.46,Gray Leaf Spot
Wheat,Spring,21.03,61.29,31.42,34.29,0.73,6.03,Fusarium Head Blight
Corn,Winter,15.9,75.69,19.11,54.87,0.72,8.6,Common Rust
Corn,Spring,16.41,63.69,23.36,42.2,18.8,12.5,Gray Leaf Spot
Wheat,Spring,31.32,95.0,44.53,48.27,8.38,5.64,Fusarium Head Blight
Wheat,Summer,17.27,88.85,32.05,20.49,3.97,12.92,Powdery Mildew
Corn,Summer,17.7,75.09,15.4,20.86,12.19,9.4,Gray Leaf Spot
Corn,Summer,17.12,58.26,8.08,16.17,15.61,10.77,Common Rust
Rice,Summer,22.22,45.36,10.61,32.8,1.15,10.48,Sheath Blight
Rice,Summer,14.23,83.89,4.62,33.86,5.91,7.54,Sheath Blight
Wheat,Autumn,15.54,89.44,36.48,31.32,4.7,12.32,Rust
Rice,Spring,12.34,46.73,7.2,43.31,7.5,6.21,Brown Spot
Corn,Autumn,16.13,82.44,29.69,38.61,21.18,7.89,Northern Corn Leaf Blight
Corn,Summer,15.0,54.63,25.46,16.61,9.26,11.9,Gray Leaf Spot
Wheat,Winter,14.76,62.64,14.38,41.32,24.11,6.46,Rust
Corn,Summer,18.03,66.5,1.2,47.01,6.83,13.6,Common Rust
Corn,Autumn,13.19,90.02,1.05,31.43,15.09,6.85,Gray Leaf Spot
Rice,Autumn,32.53,99.87,4.54,54.26,19.99,8.32,Brown Spot
Corn,Autumn,14.13,68.52,33.08,14.65,17.81,6.28,Gray Leaf Spot
Rice,Autumn,23.58,58.21,31.2,15.66,10.25,7.36,Brown Spot
Corn,Summer,25.39,85.41,23.26,52.44,0.31,9.25,Northern Corn Leaf Blight
Rice,Spring,14.95,87.82,41.24,46.53,23.17,12.36,Sheath Blight
Wheat,Autumn,33.69,56.69,19.27,49.26,21.33,9.31,Rust
Rice,Autumn,24.78,91.64,32.24,59.16,7.6,12.51,Brown Spot
Corn,Autumn,13.35,40.03,25.64,36.09,14.51,9.47,Common Rust
Corn,Winter,34.37,49.95,30.48,14.42,17.88,13.83,Gray Leaf Spot
Wheat,Spring,11.8,62.05,4.17,48.11,16.09,8.1,Fusarium Head Blight
Rice,Autumn,34.6,63.46,45.21,59.37,11.36,5.4,Brown Spot
Wheat,Spring,23.08,65.63,38.15,22.17,21.87,12.81,Powdery Mildew
Corn,Summer,15.41,87.11,40.73,10.82,18.47,11.23,Common Rust
Wheat,Winter,25.57,49.87,38.74,13.4,14.43,10.15,Powdery Mildew
Wheat,Autumn,12.25,71.98,15.07,28.73,13.76,13.57,Rust
Rice,Spring,22.47,91.21,47.67,49.62,18.19,6.59,Blast
Corn,Summer,34.59,64.45,47.38,32.01,1.53,13.21,Gray Leaf Spot
Wheat,Autumn,32.61,65.54,42.3,37.36,9.46,10.46,Fusarium Head Blight
